,0
0,4.320000000000022
1,3.3400000000000034
2,2.9099999999999966
3,2.6799999999999784
4,2.5600000000000023
5,2.530000000000001
6,2.5800000000000125
7,2.740000000000009
8,3.0999999999999943
9,4.269999999999982
